selection,director,year_rev,voter,voter_url,voter_role,voter_critic_or_director,voter_country
Hard To Be A God,Alexei German,2013,Bryan Chang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryan-chang,Film Critic and Independent Filmmaker,critic,Hong Kong
The Ang Babaeng Humayo,Lav Diaz,2016,Bryan Chang,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryan-chang,Film Critic and Independent Filmmaker,critic,Hong Kong
A Matter Of Life And Death,"Michael Powell, Emeric Pressburger",1946,Bryony Dixon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryony-dixon,Curator of silent film,critic,UK
Lone Star,John Sayles,1995,Bryony Dixon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryony-dixon,Curator of silent film,critic,UK
Seven Samurai,Akira Kurosawa,1954,Bryony Dixon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryony-dixon,Curator of silent film,critic,UK
Modern Times,Charles Chaplin,1936,Bryony Dixon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryony-dixon,Curator of silent film,critic,UK
Umarete Wa Mita Keredo,Yasujirō Ozu,1932,Bryony Dixon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryony-dixon,Curator of silent film,critic,UK
Apocalypse Now,Francis Ford Coppola,1979,Bryony Dixon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryony-dixon,Curator of silent film,critic,UK
Blackmail,Alfred Hitchcock,1929,Bryony Dixon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryony-dixon,Curator of silent film,critic,UK
The Seventh Seal,Ingmar Bergman,1957,Bryony Dixon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryony-dixon,Curator of silent film,critic,UK
Man With A Movie Camera,Dziga Vertov,1929,Bryony Dixon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryony-dixon,Curator of silent film,critic,UK
The Passion Of Joan Of Arc,Carl Th. Dreyer,1927,Bryony Dixon,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/bryony-dixon,Curator of silent film,critic,UK
Goodfellas,Martin Scorsese,1990,"C.J. ""Fiery"" Obasi",https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/c-j-fiery-obasi,Filmmaker,director,Nigeria
The Seventh Seal,Ingmar Bergman,1957,"C.J. ""Fiery"" Obasi",https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/c-j-fiery-obasi,Filmmaker,director,Nigeria
Taxi Driver,Martin Scorsese,1976,"C.J. ""Fiery"" Obasi",https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/c-j-fiery-obasi,Filmmaker,director,Nigeria
Night Of The Living Dead,George A. Romero,1968,"C.J. ""Fiery"" Obasi",https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/c-j-fiery-obasi,Filmmaker,director,Nigeria
Raging Bull,Martin Scorsese,1980,"C.J. ""Fiery"" Obasi",https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/c-j-fiery-obasi,Filmmaker,director,Nigeria
Seven Samurai,Akira Kurosawa,1954,"C.J. ""Fiery"" Obasi",https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/c-j-fiery-obasi,Filmmaker,director,Nigeria
Touki Bouki,Djibril Diop Mambéty,1973,"C.J. ""Fiery"" Obasi",https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/c-j-fiery-obasi,Filmmaker,director,Nigeria
The City Of God,Fernando Meirelles,2002,"C.J. ""Fiery"" Obasi",https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/c-j-fiery-obasi,Filmmaker,director,Nigeria
The Exorcist,William Friedkin,1973,"C.J. ""Fiery"" Obasi",https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/c-j-fiery-obasi,Filmmaker,director,Nigeria
Yeelen,Souleymane Cissé,1987,"C.J. ""Fiery"" Obasi",https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/c-j-fiery-obasi,Filmmaker,director,Nigeria
The Red Shoes,"Michael Powell, Emeric Pressburger",1948,Caden Mark Gardner,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caden-mark-gardner,Film critic and researcher,critic,USA
It's A Wonderful Life,Frank Capra,1947,Caden Mark Gardner,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caden-mark-gardner,Film critic and researcher,critic,USA
Rocco E I Suoi Fratelli,Luchino Visconti,1960,Caden Mark Gardner,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caden-mark-gardner,Film critic and researcher,critic,USA
The Birds,Alfred Hitchcock,1963,Caden Mark Gardner,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caden-mark-gardner,Film critic and researcher,critic,USA
The Battle Of Algiers,Gillo Pontecorvo,1966,Caden Mark Gardner,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caden-mark-gardner,Film critic and researcher,critic,USA
Duck Amuck,Chuck Jones,1951,Caden Mark Gardner,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caden-mark-gardner,Film critic and researcher,critic,USA
In Einem Jahr Mit 13 Monden,Rainer Werner Fassbinder,1978,Caden Mark Gardner,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caden-mark-gardner,Film critic and researcher,critic,USA
Toute Une Nuit,Chantal Akerman,1982,Caden Mark Gardner,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caden-mark-gardner,Film critic and researcher,critic,USA
Rebel Without A Cause,Nicholas Ray,1955,Caden Mark Gardner,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caden-mark-gardner,Film critic and researcher,critic,USA
Inherent Vice,Paul Thomas Anderson,2014,Caden Mark Gardner,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caden-mark-gardner,Film critic and researcher,critic,USA
Vertigo,Alfred Hitchcock,1958,Cael Keegan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cael-keegan,Associate Professor,critic,USA
Do The Right Thing,Spike Lee,1989,Cael Keegan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cael-keegan,Associate Professor,critic,USA
Singin' In The Rain,"Gene Kelly, Stanley Donen",1951,Cael Keegan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cael-keegan,Associate Professor,critic,USA
The Matrix,The Wachowskis,1999,Cael Keegan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cael-keegan,Associate Professor,critic,USA
Stalker,Andrei Tarkovsky,1979,Cael Keegan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cael-keegan,Associate Professor,critic,USA
Mulholland Dr.,David Lynch,2001,Cael Keegan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cael-keegan,Associate Professor,critic,USA
Jaws,Steven Spielberg,1975,Cael Keegan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cael-keegan,Associate Professor,critic,USA
In The Mood For Love,Wong Kar Wai,2000,Cael Keegan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cael-keegan,Associate Professor,critic,USA
The Passion Of Joan Of Arc,Carl Th. Dreyer,1927,Cael Keegan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cael-keegan,Associate Professor,critic,USA
Mad Max: Fury Road,George Miller,2015,Cael Keegan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cael-keegan,Associate Professor,critic,USA
A Woman Under The Influence,John Cassavetes,1974,Caitlin Quinlan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-quinlan,Film Critic,critic,UK
Beau Travail,Claire Denis,1998,Caitlin Quinlan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-quinlan,Film Critic,critic,UK
The Conformist,Bernardo Bertolucci,1970,Caitlin Quinlan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-quinlan,Film Critic,critic,UK
L' Eclisse,Michelangelo Antonioni,1962,Caitlin Quinlan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-quinlan,Film Critic,critic,UK
India Song,Marguerite Duras,1975,Caitlin Quinlan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-quinlan,Film Critic,critic,UK
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Caitlin Quinlan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-quinlan,Film Critic,critic,UK
Losing Ground,Kathleen Collins,1982,Caitlin Quinlan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-quinlan,Film Critic,critic,UK
The Passion Of Joan Of Arc,Carl Th. Dreyer,1927,Caitlin Quinlan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-quinlan,Film Critic,critic,UK
Wanda,Barbara Loden,1970,Caitlin Quinlan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-quinlan,Film Critic,critic,UK
Wendy And Lucy,Kelly Reichardt,2008,Caitlin Quinlan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-quinlan,Film Critic,critic,UK
Playtime,Jacques Tati,1967,Caitlin Smith,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-smith,Curator,critic,UK
Wanda,Barbara Loden,1970,Caitlin Smith,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-smith,Curator,critic,UK
Werckmeister Harmonies,Béla Tarr,2000,Caitlin Smith,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-smith,Curator,critic,UK
"Goodbye, Dragon Inn",Tsai Ming-liang,2003,Caitlin Smith,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-smith,Curator,critic,UK
Nashville,Robert Altman,1975,Caitlin Smith,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-smith,Curator,critic,UK
Black Girl,Ousmane Sembène,1965,Caitlin Smith,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-smith,Curator,critic,UK
Edvard Munch,Peter Watkins,1976,Caitlin Smith,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-smith,Curator,critic,UK
The Headless Woman,Lucrecia Martel,2008,Caitlin Smith,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-smith,Curator,critic,UK
The Ascent,Larissa Shepitko,1976,Caitlin Smith,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-smith,Curator,critic,UK
Sånger Från Andra Våningen,Roy Andersson,2000,Caitlin Smith,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/caitlin-smith,Curator,critic,UK
2001: A Space Odyssey,Stanley Kubrick,1968,Călin Peter Netzer,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/calin-peter-netzer,,director,
Dekalog,Krzysztof Kieslowski,1989,Călin Peter Netzer,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/calin-peter-netzer,,director,
À Bout De Souffle,Jean-Luc Godard,1960,Călin Peter Netzer,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/calin-peter-netzer,,director,
City Lights,Charles Chaplin,1931,Călin Peter Netzer,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/calin-peter-netzer,,director,
La Strada,Federico Fellini,1954,Călin Peter Netzer,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/calin-peter-netzer,,director,
In The Mood For Love,Wong Kar Wai,2000,Călin Peter Netzer,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/calin-peter-netzer,,director,
Dom Za Vesanje,Emir Kusturica,1989,Călin Peter Netzer,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/calin-peter-netzer,,director,
The Godfather,Francis Ford Coppola,1972,Călin Peter Netzer,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/calin-peter-netzer,,director,
Citizen Kane,Orson Welles,1941,Călin Peter Netzer,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/calin-peter-netzer,,director,
A Separation,Asghar Farhadi,2011,Călin Peter Netzer,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/calin-peter-netzer,,director,
Vertigo,Alfred Hitchcock,1958,Cameron Bailey,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cameron-bailey,"CEO, TIFF (Toronto International Film Festival)",critic,Canada
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Cameron Bailey,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cameron-bailey,"CEO, TIFF (Toronto International Film Festival)",critic,Canada
In The Mood For Love,Wong Kar Wai,2000,Cameron Bailey,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cameron-bailey,"CEO, TIFF (Toronto International Film Festival)",critic,Canada
Cléo From 5 To 7,Agnès Varda,1962,Cameron Bailey,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cameron-bailey,"CEO, TIFF (Toronto International Film Festival)",critic,Canada
Touki Bouki,Djibril Diop Mambéty,1973,Cameron Bailey,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cameron-bailey,"CEO, TIFF (Toronto International Film Festival)",critic,Canada
Yi Yi,Edward Yang,1999,Cameron Bailey,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cameron-bailey,"CEO, TIFF (Toronto International Film Festival)",critic,Canada
The Matrix,The Wachowskis,1999,Cameron Bailey,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cameron-bailey,"CEO, TIFF (Toronto International Film Festival)",critic,Canada
Moonlight,Barry Jenkins,2016,Cameron Bailey,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cameron-bailey,"CEO, TIFF (Toronto International Film Festival)",critic,Canada
Man With A Movie Camera,Dziga Vertov,1929,Cameron Bailey,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cameron-bailey,"CEO, TIFF (Toronto International Film Festival)",critic,Canada
Beau Travail,Claire Denis,1998,Cameron Bailey,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/cameron-bailey,"CEO, TIFF (Toronto International Film Festival)",critic,Canada
Koyaanisqatsi: Life Out Of Balance,Godfrey Reggio,1983,Camilla Markvardsen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/camilla-markvardsen,Film Programmer,critic,Denmark/UK
Le Voyage Dans La Lune,Georges Méliès,1902,Camilla Markvardsen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/camilla-markvardsen,Film Programmer,critic,Denmark/UK
The Passion Of Joan Of Arc,Carl Th. Dreyer,1927,Camilla Markvardsen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/camilla-markvardsen,Film Programmer,critic,Denmark/UK
La Jetée,Chris Marker,1962,Camilla Markvardsen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/camilla-markvardsen,Film Programmer,critic,Denmark/UK
Persona,Ingmar Bergman,1966,Camilla Markvardsen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/camilla-markvardsen,Film Programmer,critic,Denmark/UK
Le Navire Night,Marguerite Duras,1979,Camilla Markvardsen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/camilla-markvardsen,Film Programmer,critic,Denmark/UK
Do The Right Thing,Spike Lee,1989,Camilla Markvardsen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/camilla-markvardsen,Film Programmer,critic,Denmark/UK
Shoot For The Contents,Trinh T. Minh-ha,1991,Camilla Markvardsen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/camilla-markvardsen,Film Programmer,critic,Denmark/UK
The Matrix,The Wachowskis,1999,Camilla Markvardsen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/camilla-markvardsen,Film Programmer,critic,Denmark/UK
"Goodbye, Dragon Inn",Tsai Ming-liang,2003,Camilla Markvardsen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/camilla-markvardsen,Film Programmer,critic,Denmark/UK
Monkeyshines [No. 1],William Kennedy Dickson & William Heise,1889-1890,Camille Blot-Wellens,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/camille-blot-wellens,"Film Historian, Researcher, Archivist",critic,France/Sweden
Suspense,"Lois Weber, Phillips Smalley",1913,Camille Blot-Wellens,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/camille-blot-wellens,"Film Historian, Researcher, Archivist",critic,France/Sweden
Körkarlen,Victor Sjöström,1921,Camille Blot-Wellens,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/camille-blot-wellens,"Film Historian, Researcher, Archivist",critic,France/Sweden
Sherlock Jr.,Buster Keaton,1924,Camille Blot-Wellens,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/camille-blot-wellens,"Film Historian, Researcher, Archivist",critic,France/Sweden
The Last Laugh,F.W. Murnau,1924,Camille Blot-Wellens,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/camille-blot-wellens,"Film Historian, Researcher, Archivist",critic,France/Sweden
