selection,director,year_rev,voter,voter_url,voter_role,voter_critic_or_director,voter_country
Rear Window,Alfred Hitchcock,1954,Adam Gonet,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-gonet,"Editor/Critic, 'The Arts Shelf'",critic,UK
The Godfather,Francis Ford Coppola,1972,Adam Gonet,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-gonet,"Editor/Critic, 'The Arts Shelf'",critic,UK
The Lord Of The Rings  The Fellowship Of The Ring,Peter Jackson,2001,Adam Gonet,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-gonet,"Editor/Critic, 'The Arts Shelf'",critic,UK
Lawrence Of Arabia,David Lean,1962,Adam Gonet,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-gonet,"Editor/Critic, 'The Arts Shelf'",critic,UK
La Règle Du Jeu,Jean Renoir,1939,Adam Gonet,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-gonet,"Editor/Critic, 'The Arts Shelf'",critic,UK
Citizen Kane,Orson Welles,1941,Adam Gonet,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-gonet,"Editor/Critic, 'The Arts Shelf'",critic,UK
The Apartment,Billy Wilder,1960,Adam Gonet,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-gonet,"Editor/Critic, 'The Arts Shelf'",critic,UK
M,Fritz Lang,1931,Adam Gonet,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-gonet,"Editor/Critic, 'The Arts Shelf'",critic,UK
Anatomy Of A Murder,Otto Preminger,1959,Adam Gonet,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-gonet,"Editor/Critic, 'The Arts Shelf'",critic,UK
The Shawshank Redemption,Frank Darabont,1994,Adam Gonet,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-gonet,"Editor/Critic, 'The Arts Shelf'",critic,UK
Persona,Ingmar Bergman,1966,Adam Hyman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-hyman,"Executive Director, Los Angeles Filmforum",critic,USA
A Tale Of The Wind,"Joris Ivens, Marceline Loridan",1988,Adam Hyman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-hyman,"Executive Director, Los Angeles Filmforum",critic,USA
Sátántangó,Béla Tarr,1994,Adam Hyman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-hyman,"Executive Director, Los Angeles Filmforum",critic,USA
Tokyo Story,Yasujirō Ozu,1953,Adam Hyman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-hyman,"Executive Director, Los Angeles Filmforum",critic,USA
Charulata,Satyajit Ray,1964,Adam Hyman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-hyman,"Executive Director, Los Angeles Filmforum",critic,USA
3 Women,Robert Altman,1977,Adam Hyman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-hyman,"Executive Director, Los Angeles Filmforum",critic,USA
Meshes Of The Afternoon,"Maya Deren, Alexander Hackenschmied",1943,Adam Hyman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-hyman,"Executive Director, Los Angeles Filmforum",critic,USA
A Grin Without A Cat,Chris Marker,1977,Adam Hyman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-hyman,"Executive Director, Los Angeles Filmforum",critic,USA
Lawrence Of Arabia,David Lean,1962,Adam Hyman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-hyman,"Executive Director, Los Angeles Filmforum",critic,USA
